# 6-DOF UR5 robot arm csv file for V-REP animation.
# All lines beginning with # are treated as a comment and ignored.
# Each line below is of the form
# jt1ang, jt2ang, jt3ang, jt4ang, jt5ang, jt6ang
# where each joint angle is expressed in radians.
-0.785398,-0.785398,-0.785398,-0.785398,-0.785398,-0.785398
-0.904973,-0.811403,-0.787639,-0.753711,-0.692927,-0.801464
-1.029211,-0.833517,-0.791851,-0.7082,-0.59693,-0.827646
-1.156368,-0.8531,-0.795702,-0.645055,-0.499611,-0.868522
-1.284209,-0.872533,-0.795308,-0.558275,-0.403891,-0.931502
-1.410238,-0.896191,-0.783424,-0.438207,-0.313374,-1.029175
-1.532059,-0.932582,-0.744811,-0.269372,-0.232394,-1.184009
-1.647826,-0.999331,-0.643624,-0.029386,-0.16649,-1.437075
-1.756773,-1.134756,-0.388356,0.294861,-0.123929,-1.855343
-1.859924,-1.444497,0.290232,0.566608,-0.118192,-2.466473
-1.960208,-1.137251,-0.244032,1.331124,-0.160343,-2.97139
-2.053432,-1.101396,-0.250997,1.491062,-0.221913,-3.124507
-2.136603,-1.028567,-0.353659,1.601096,-0.277602,-3.167274
-2.210726,-0.965718,-0.438599,1.672528,-0.325165,-3.178358
-2.276858,-0.909287,-0.509966,1.72428,-0.365104,-3.176617
-2.336074,-0.856864,-0.572151,1.764456,-0.398349,-3.168545
-2.389381,-0.807274,-0.627669,1.79692,-0.425865,-3.156936
-2.437668,-0.75991,-0.678045,1.823775,-0.448533,-3.143171
-2.4817,-0.714436,-0.724272,1.846285,-0.467125,-3.128001
-2.522118,-0.67065,-0.767036,1.865271,-0.482295,-3.111864
-2.559458,-0.628422,-0.806836,1.881299,-0.494591,-3.095027
-2.594163,-0.587665,-0.844046,1.894781,-0.504472,-3.077664
-2.626598,-0.548313,-0.87896,1.906029,-0.512319,-3.059889
-2.657066,-0.510312,-0.911812,1.915284,-0.51845,-3.04178
-2.685818,-0.47362,-0.942797,1.922745,-0.523133,-3.023395
-2.713061,-0.438196,-0.972075,1.928574,-0.52659,-3.004773
-2.738971,-0.404004,-0.999785,1.932911,-0.529012,-2.985949
-2.763691,-0.371011,-1.026047,1.935876,-0.530557,-2.966946
-2.787343,-0.339183,-1.050966,1.937575,-0.531364,-2.947788
-2.810031,-0.30849,-1.074635,1.938105,-0.531548,-2.928492
-2.83184,-0.2789,-1.097139,1.937553,-0.531211,-2.909078
-2.852844,-0.250382,-1.118553,1.935998,-0.53044,-2.889562
-2.873106,-0.222908,-1.138945,1.933516,-0.529309,-2.869962
-2.892679,-0.196446,-1.15838,1.930176,-0.527885,-2.850295
-2.911608,-0.170968,-1.176915,1.926046,-0.526225,-2.830577
-2.929932,-0.146445,-1.194603,1.921187,-0.524378,-2.810829
-2.947685,-0.122848,-1.211494,1.915661,-0.522389,-2.791068
-2.964897,-0.10015,-1.227633,1.909524,-0.520295,-2.771315
-2.981591,-0.078322,-1.243062,1.902832,-0.51813,-2.75159
-2.997789,-0.057338,-1.257821,1.895639,-0.515922,-2.731914
-3.013511,-0.03717,-1.271947,1.887996,-0.513698,-2.712308
-3.028772,-0.017793,-1.285472,1.879951,-0.511479,-2.692796
-3.043587,0.000821,-1.298428,1.871553,-0.509284,-2.6734
-3.057969,0.018695,-1.310844,1.862848,-0.507129,-2.654142
-3.071928,0.035854,-1.322746,1.853879,-0.505028,-2.635047
-3.085475,0.052323,-1.33416,1.844689,-0.502991,-2.616137
-3.098619,0.068124,-1.345108,1.835319,-0.501029,-2.597435
-3.111367,0.083281,-1.355612,1.825808,-0.499149,-2.578964
-3.123727,0.097814,-1.36569,1.816193,-0.497357,-2.560746
-3.135705,0.111747,-1.37536,1.806509,-0.495657,-2.542802
-3.147307,0.125098,-1.38464,1.796789,-0.494052,-2.525155
-3.158539,0.137888,-1.393544,1.787066,-0.492545,-2.507824
-3.169407,0.150136,-1.402086,1.777369,-0.491135,-2.490828
-3.179916,0.161861,-1.410281,1.767727,-0.489823,-2.474184
-3.19007,0.173079,-1.418139,1.758165,-0.488608,-2.457911
-3.199875,0.183809,-1.425671,1.748708,-0.487487,-2.442023
-3.209335,0.194067,-1.43289,1.739378,-0.486459,-2.426535
-3.218455,0.203868,-1.439804,1.730197,-0.485521,-2.411459
-3.22724,0.213227,-1.446422,1.721183,-0.484669,-2.396807
-3.235694,0.22216,-1.452754,1.712354,-0.4839,-2.38259
-3.243822,0.23068,-1.458808,1.703725,-0.483209,-2.368815
-3.251629,0.238801,-1.464592,1.69531,-0.482593,-2.355489
-3.25912,0.246536,-1.470113,1.687121,-0.482046,-2.34262
-3.266299,0.253897,-1.475379,1.67917,-0.481565,-2.33021
-3.273173,0.260898,-1.480396,1.671466,-0.481145,-2.318263
-3.279745,0.267549,-1.485173,1.664015,-0.480781,-2.30678
-3.286023,0.273862,-1.489715,1.656826,-0.48047,-2.295761
-3.29201,0.279849,-1.49403,1.649903,-0.480206,-2.285206
-3.297714,0.285521,-1.498124,1.643249,-0.479985,-2.275112
-3.30314,0.290888,-1.502004,1.636867,-0.479804,-2.265475
-3.308294,0.295961,-1.505676,1.630759,-0.479658,-2.256291
-3.313183,0.30075,-1.509148,1.624925,-0.479543,-2.247553
-3.317814,0.305266,-1.512424,1.619363,-0.479456,-2.239254
-3.322193,0.309519,-1.515514,1.614071,-0.479394,-2.231387
-3.326329,0.313519,-1.518422,1.609047,-0.479353,-2.223941
-3.330228,0.317276,-1.521156,1.604286,-0.47933,-2.216907
-3.333899,0.320801,-1.523723,1.599782,-0.479323,-2.210272
-3.337351,0.324105,-1.526131,1.59553,-0.47933,-2.204023
-3.340592,0.327197,-1.528385,1.591521,-0.479348,-2.198148
-3.343631,0.330088,-1.530495,1.587748,-0.479374,-2.19263
-3.346479,0.332789,-1.532467,1.5842,-0.479408,-2.187454
-3.349146,0.335313,-1.53431,1.580869,-0.479448,-2.182602
-3.351642,0.337669,-1.536031,1.577741,-0.479492,-2.178055
-3.35398,0.339871,-1.53764,1.574804,-0.47954,-2.173794
-3.356171,0.34193,-1.539146,1.572046,-0.47959,-2.169797
-3.358227,0.343859,-1.540556,1.56945,-0.479642,-2.166042
-3.360164,0.345672,-1.541882,1.567001,-0.479695,-2.162505
-3.361993,0.347383,-1.543134,1.564683,-0.479749,-2.15916
-3.363731,0.349005,-1.54432,1.562477,-0.479803,-2.155982
-3.365393,0.350553,-1.545454,1.560364,-0.479859,-2.152941
-3.366995,0.352043,-1.546545,1.558324,-0.479915,-2.150008
-3.368554,0.353492,-1.547605,1.556336,-0.479973,-2.147153
-3.370088,0.354915,-1.548647,1.554377,-0.480032,-2.144343
-3.371614,0.356329,-1.549682,1.552424,-0.480093,-2.141544
-3.373153,0.357753,-1.550725,1.550453,-0.480158,-2.138722
-3.374723,0.359204,-1.551788,1.548439,-0.480226,-2.135841
-3.376346,0.360701,-1.552884,1.546355,-0.4803,-2.132865
-3.37804,0.362262,-1.554028,1.544176,-0.48038,-2.129754
-3.379828,0.363907,-1.555233,1.541873,-0.480467,-2.126472
-3.381729,0.365653,-1.556513,1.53942,-0.480564,-2.122978
-3.383766,0.367521,-1.557881,1.536788,-0.480673,-2.119235
-3.385959,0.369528,-1.559352,1.533949,-0.480794,-2.115204
-3.388328,0.371693,-1.560938,1.530876,-0.480931,-2.110846
-3.390894,0.374033,-1.562653,1.527542,-0.481087,-2.106124
-3.393677,0.376564,-1.564507,1.523919,-0.481263,-2.101002
-3.396693,0.379301,-1.566513,1.519983,-0.481464,-2.095447
-3.399962,0.382259,-1.56868,1.515708,-0.481693,-2.089427
-3.403497,0.385449,-1.571018,1.511073,-0.481954,-2.082912
-3.407313,0.388882,-1.573533,1.506057,-0.482251,-2.075877
-3.411422,0.392565,-1.576231,1.500641,-0.482589,-2.0683
-3.415833,0.396506,-1.579116,1.49481,-0.482973,-2.060164
-3.420554,0.400706,-1.58219,1.488552,-0.483409,-2.051457
-3.425588,0.405166,-1.585452,1.481859,-0.483901,-2.042171
-3.430936,0.409883,-1.588901,1.474726,-0.484455,-2.032307
-3.436596,0.414853,-1.59253,1.467152,-0.485078,-2.021868
-3.442564,0.420065,-1.596333,1.459143,-0.485775,-2.010867
-3.44883,0.425509,-1.600299,1.450707,-0.486552,-1.999323
-3.455382,0.431169,-1.604417,1.441858,-0.487414,-1.987262
-3.462204,0.437029,-1.608672,1.432617,-0.488365,-1.974716
-3.469279,0.443067,-1.613047,1.423007,-0.48941,-1.961725
-3.476583,0.449261,-1.617524,1.413058,-0.490552,-1.948334
-3.484091,0.455586,-1.622082,1.402804,-0.491793,-1.934595
